TexturesCount: 1088
,RGBA32,364,350,1
,Alpha8,800,800,2
,RGBAFloat,64,64,1
,ARGB32,1,4,1
UnityGUIClip,Alpha8,16,16,1
UnityNHxRoughness,R16,256,64,2
UnityDitherMask2D,Alpha8,4,64,2
UnityDitherMask,Alpha8,4,4,2
UnityDefault2D,RGBA32,16,16,2
UnityAttenuation,R16,1024,1,2
UnityHalo,Alpha8,64,64,2
UnityGrayscaleRamp,RGBA32,256,2,2
UnityLinearGrey,RGBA32,4,4,2
UnityGrey,RGBA32,4,4,2
UnityRed,RGBA32,4,4,2
UnityRandomRotation,RGBA32,16,16,2
UnityBlack,RGBA32,4,4,2
UnityWhite,RGBA32,4,4,2
UnityNormalMap,RGBA32,4,4,2
Soft,Alpha8,128,128,1
Font Texture,Alpha8,512,512,1
Default-ParticleSystem,RGBA32,64,64,1
Checkmark,RGBA32,64,64,1
UISprite,RGBA32,32,32,1
Background,RGBA32,32,32,1
InputFieldBackground,RGBA32,32,32,1
Knob,RGBA32,64,64,1
UIMask,RGBA32,32,32,1
IN foldout act on,RGBA32,13,13,1
IN pulldown,RGBA32,8,13,1
mini pulldown focus@2x,RGBA32,48,32,1
AnimationRowOdd,RGB24,2,2,1
ProfilerRightPaneBackgroundOn,RGBA32,3,18,1
d_winbtn_win_close,RGBA32,16,16,1
toggle mixed focus@2x,RGBA32,32,30,1
slider horiz,RGBA32,17,5,1
searchCancelButtonOff@2x,RGBA32,32,36,1
d_ol_minus_act,RGBA32,16,16,1
cmd mid on,RGBA32,6,23,1
dockarea back,RGB24,10,19,1
btn right on@2x,RGBA32,16,38,1
scrubber button act,RGB24,10,21,1
ShurikenDropdownFocused,RGBA32,13,13,1
ShurikenObjectField,RGBA32,20,13,1
cmd right act@2x,RGBA32,16,46,1
transparent@2x,RGBA32,4,4,2
progress front,RGB24,5,5,1
IN foldout act@2x,RGBA32,26,26,1
d_winbtn_win_max,RGBA32,16,16,1
CollabNew,RGBA32,12,12,1
d_Profiler.Audio,RGBA32,16,16,1
d_WaitSpin02,RGBA32,16,16,1
slider thumb act,RGBA32,12,12,1
mini btn right@2x,RGBA32,16,32,1
selected@2x,RGB24,4,4,1
ShurikenToggleNormalOn,RGBA32,12,12,1
btn on focus,RGBA32,17,19,1
d_RectTool On,RGBA32,16,16,1
iconselector sep@2x,RGB24,14,6,1
d_BuildSettings.Metro,RGBA32,32,32,1
d_BuildSettings.Lumin,RGBA32,32,32,1
Pre button act,RGB24,6,17,1
toggle@2x,RGBA32,32,30,1
ShurikenPopupFocused,RGBA32,13,13,1
cmd right on focus,RGBA32,8,23,1
toolbar button act on,RGB24,14,18,1
PB-HeaderBgMiddle,RGB24,2,18,1
mini btn mid,RGBA32,6,16,1
ProjectBrowserIconAreaBg,RGB24,6,6,1
d_winbtn_win_close_a,RGBA32,16,16,1
mini btn right on focus,RGBA32,8,16,1
searchCancelButtonOff,RGBA32,16,18,1
Pre popup on,RGB24,16,17,1
dropwell nothumb,RGBA32,27,16,1
cmd left on,RGBA32,8,23,1
Pre popup act,RGB24,16,17,1
mini btn left focus,RGBA32,8,16,1
cmd right on,RGBA32,8,23,1
btn right act,RGBA32,8,19,1
toolbar back,RGB24,4,4,1
console.infoicon,RGBA32,32,32,1
mini btn act,RGBA32,17,16,1
TextField focused,RGBA32,8,7,1
WindowBottomResize,RGBA32,4,6,1
cmd left focus,RGBA32,8,23,1
ol plus act,RGBA32,13,13,1
ProfilerNoDataAvailableOverlayDarkOn,RGB24,3,4,1
mini btn left on,RGBA32,8,16,1
d_winbtn_win_max_a,RGBA32,16,16,1
IN Title Normal,RGBA32,15,19,1
ArrowNavigationRight,RGBA32,16,16,1
cmd left onact,RGBA32,8,23,1
console.warnicon.sml,RGBA32,16,16,1
d_winbtn_win_restore_a,RGBA32,16,16,1
mini btn mid focus,RGBA32,6,16,1
tabbar on f,RGBA32,11,17,1
ro_selected_d,RGBA32,12,20,1
Pre button,RGB24,6,17,1
mini btn mid act,RGBA32,6,16,1
mini btn right focus,RGBA32,8,16,1
scroll horiz,RGB24,37,15,1
cmd onact,RGBA32,17,23,1
toolbar button,RGB24,14,18,1
cnentrybackeven,RGB24,4,4,1
d_rol-body,RGBA32,14,11,1
cmd mid focus,RGBA32,6,23,1
btn on,RGBA32,17,19,1
IN Title On Focused,RGBA32,15,19,1
Pre toolbar act overlay,RGBA32,2,2,1
btn mid on,RGBA32,6,19,1
ro_unselected_d,RGBA32,12,20,1
ShurikenToggleFocusedOn,RGBA32,12,12,1
cmd left,RGBA32,8,23,1
TE toolbar button,RGB24,14,18,1
ProjectBrowserGridLabelUnfocused,RGBA32,22,17,1
SearchModeFilter,RGBA32,8,8,1
OL Highlight,RGB24,5,20,1
btn right onact,RGBA32,8,19,1
Inlined TextField Focus,RGBA32,8,5,1
PB-TopBarBg,RGB24,2,18,1
mini btn mid onact,RGBA32,6,16,1
Font Texture,Alpha8,256,256,13
AnimationRowEvenSelected,RGB24,2,2,1
ProfilerNoDataAvailableOverlayDark,RGB24,3,4,1
cmd on focus,RGBA32,17,23,1
ProilerLeftPaneOn,RGB24,4,18,1
scrubber button,RGB24,10,21,1
TextFieldDropDownText,RGB24,5,16,1
toolbar pulldown act,RGB24,13,18,1
ArrowNavigationLeft,RGBA32,16,16,1
mini btn mid on,RGBA32,6,16,1
slider thumb focus,RGBA32,12,12,1
mini btn mid on focus,RGBA32,6,16,1
btn left act,RGBA32,8,19,1
IN LockButton on,RGBA32,16,16,1
scroll vert thumb,RGBA32,15,24,1
darkviewbackground,RGB24,28,25,1
IN LockButton on act,RGBA32,16,16,1
progress back,RGBA32,5,5,1
mini btn on focus,RGBA32,17,16,1
btn left on focus,RGBA32,8,19,1
TextFieldDropDownFocused,RGB24,12,16,1
console.erroricon.sml,RGBA32,16,16,1
Toolbar,RGB24,2,18,1
